train_loss,val_loss,val_acc,val_f1,val_recall,single_ratio,multi_ratio
0.1063437922991843,0.21572017960611098,0.9464285717560694,0.9432475155455312,0.9429841546717617,0.21051275444473075,0.7894872455552693
0.11080394709030542,0.2143319807365305,0.9465285717560694,0.9432475155455312,0.9429841546717617,0.20329811904148415,0.7967018809585158
0.11428961812407391,0.20956537426655603,0.947029533294531,0.9437696335708489,0.9436154678030748,0.21978871424890492,0.7802112857510951
0.10836575276107209,0.20699670282871152,0.9472304948329926,0.944328686409199,0.9442957399119184,0.23138366400412264,0.7686163359958773
0.11588077639601359,0.20724559849378027,0.947029533294531,0.9437845674287554,0.9438769794429067,0.2373099716567895,0.7626900283432105
0.11037258630610788,0.2066430729896288,0.9472304948329926,0.944328686409199,0.9442957399119184,0.27776346302499355,0.7222365369750064
0.11218076993408517,0.20591367129803145,0.9473304948329926,0.944328686409199,0.9442957399119184,0.2816284462767328,0.7183715537232672
0.10612340953676298,0.20594401272242416,0.9472314563714541,0.9451933197433807,0.9452937439039344,0.29064674053079104,0.709353259469209
0.11728993055138569,0.20832999879523692,0.9472314563714541,0.9451933197433807,0.9452937439039344,0.28858541612986344,0.7114145838701366
0.11309120390150282,0.20520693810983806,0.9475304948329926,0.944328686409199,0.9442957399119184,0.2826101520226746,0.7273898479773254
0.10787576838653275,0.20420333741591234,0.9476304948329926,0.944328686409199,0.9442957399119184,0.28832775057974747,0.7116722494202525
0.1131921505609167,0.20705697933709205,0.9475114563714541,0.9451933197433807,0.9452937439039344,0.29425405823241435,0.7057459417675856
0.11015212227716858,0.20561665770142448,0.9476004948329926,0.9446478780306191,0.9448749834349227,0.2819350682813708,0.7080649317186292
0.10656189411081404,0.2079308211984356,0.9475204948329926,0.944328686409199,0.9442957399119184,0.2898737438804432,0.7101262561195568
0.10743607966988175,0.20686827763494456,0.9477314563714541,0.9454933197433807,0.9443937439039344,0.298855449626385,0.719144550373615
